"surface_kind","object_name","can_register_now","can_use_as_relation_source","relation_shape","known_columns","missing_metadata","state","evidence_refs","notes"
"sharepoint_list","Patrones de Prompt","yes","yes","prompt_pattern_catalog","existence confirmed; exact columns not extracted from site content","internal name; list id; field internal names; required fields; exact columns not extracted from site content; current live list existence not verified by list metadata read","MODEL_DOC_PARTIAL_ONLY","site doc: MODELO MAESTRO DE AGENTES","prompt template library; exact schema still missing"
"sharepoint_list","Tipos de entrada","yes","yes","input_type_catalog","existence confirmed; exact columns not extracted from site content","internal name; list id; field internal names; required fields; exact columns not extracted from site content; current live list existence not verified by list metadata read","MODEL_DOC_PARTIAL_ONLY","site doc: MODELO MAESTRO DE AGENTES","input taxonomy; exact schema still missing"
"sharepoint_list","Casos gestionados","yes","yes","lookup_to_Agentes","Título; Agente; Tipo de caso; Estado del caso; Descripción; Persona involucrada; Responsable interno; SLA (días); Fecha de inicio; Fecha de última actualización; Fecha límite / SLA; Notas","internal name; list id; field internal names; required fields; current live list existence not verified by list metadata read","MODEL_DOC_TEMPLATE_AVAILABLE","site doc: MANUAL PARA USUARIOS FINALES; site doc: Tabla lista para copiar en Excel","operational case register"
"sharepoint_list","Acciones generadas","yes","yes","lookup_to_Agentes_Temas_y_Casos","Título; Agente; Tema; Tipo de acción; Descripción de la acción; Caso relacionado; Estado de la acción; Fecha de creación; Ejecutado por; Notas","internal name; list id; field internal names; required fields; current live list existence not verified by list metadata read","MODEL_DOC_TEMPLATE_AVAILABLE","site doc: MANUAL PARA USUARIOS FINALES; site doc: Tabla lista para copiar en Excel","operational action register"
"folder","Documents","no","yes","document_library_root","","site root library for SYS-GobiernoOperativo-PILOTO","DOCUMENT_LIBRARY_CONFIRMED","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|get_site|list_site_drives|list_folder_items","site default document library"
"folder","Frentes","no","yes","front_folder","","visible under default library; contains Cumplimiento Normativo","FOLDER_CONFIRMED","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:root","front branch surface"
"folder","LIB_GobiernoSistemas","no","yes","governance_bundle","","contains control, cabina, and execution packages","FOLDER_CONFIRMED","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:root","main governance bundle"
"folder","MW-MAQUINA-CABINA-OPERATIVA-SHAREPOINT-V1","no","yes","architecture_bundle","","markdown/yaml bundle not yet body-read","FOLDER_CONFIRMED","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:LIB_GobiernoSistemas","cabina visible architecture pack"
"folder","TGE_Control_20260514","no","yes","control_bundle","","markdown/csv bundle not yet body-read","FOLDER_CONFIRMED","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:LIB_GobiernoSistemas","control and reconciliation pack"
"folder","TGE_SDU_CN_MICROSOFT_EXECUTION_20260531","no","yes","execution_bundle","","context/evidence/manifests/orders/readbacks substructure","FOLDER_CONFIRMED","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:LIB_GobiernoSistemas","execution package"
"folder","TGE_SDU_CN_MICROSOFT_EXECUTION_20260531/manifests","no","yes","manifest_bundle","","six manifest files confirmed by filename","FOLDER_CONFIRMED","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:TGE_SDU_CN_MICROSOFT_EXECUTION_20260531/manifests","manifest set"
"folder","TGE_SDU_CN_MICROSOFT_EXECUTION_20260531/orders","no","yes","order_bundle","","two order files confirmed by filename","FOLDER_CONFIRMED","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:TGE_SDU_CN_MICROSOFT_EXECUTION_20260531/orders","agent activation order set"
"folder","TGE_SDU_CN_MICROSOFT_EXECUTION_20260531/readbacks","no","yes","readback_bundle","","four readbacks confirmed by filename","FOLDER_CONFIRMED","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:TGE_SDU_CN_MICROSOFT_EXECUTION_20260531/readbacks","execution readback set"
