capability_id,surface,current_status,active_status,execute_now,execution_mode,required_target,required_identity,required_owner,required_secret,required_secret_condition,cost_boundary,data_scope,approval_ref,required_rollback,required_postcheck,required_evidence,command_or_workflow,fallback_if_missing,stop_condition,validator,canonical_status
mcp.read_only_probe,MCP read-only probe,DEV_READY,EXECUTE_MCP_READ_PROBE_NOW,yes,validator_preflight,repo_visible_mcp_contract,operador_runtime,operador_runtime,no,not_required,no_external_cost,local_metadata_only,not_required_for_local,revert_contract_change,no_live_message_or_remote_write,SDU_MCP_DEV_ACTIVATION_VALIDATOR=PASS,python scripts/validators/sdu_mcp_dev_activation_validator.py,Mark NO_DISPONIBLE if tool missing,MCP_REMOTE_WRITE_ATTEMPTED,scripts/validators/sdu_mcp_dev_activation_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
mcp.write.dev_gate,MCP write DEV gate,CONTRACT_ONLY,PENDING_TARGET_ONLY,no,live_write_gated,[MCP_SERVER]|[TOOL]|[OBJECT],operador_runtime,operador_runtime,conditional,required_if_mcp_server_or_tool_uses_authenticated_write,explicit_mcp_write_cost_or_no_external_cost_declared,selected_object_metadata_only,required_live_write_gate,revert_tool_write_or_close_task,postcheck selected object only,MCP write response sanitized,python scripts/validators/gated_pending_action_validator.py --capability mcp.write.dev_gate --required-target [MCP_WRITE_TARGET] --approval-ref [APPROVAL_REF] --rollback [ROLLBACK_PLAN] --postcheck [POSTCHECK] --stop-condition MCP_WRITE_TARGET_MISSING --no-live,PENDING_TARGET_ONLY; run read-only probe only,MCP_WRITE_TARGET_MISSING,scripts/validators/dev_execution_attempt_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
codex_cloud.smoke,Codex Cloud no-diff smoke,CODEX_CLOUD_ENV_VISIBLE,EXECUTE_CODEX_CLOUD_SMOKE_NOW,yes,cloud_readonly_smoke,universo-rey/cabina-universal-d,operador_runtime,operador_runtime,no,not_required,governed_cloud_smoke_cost_within_existing_plan,repo_metadata_only,smoke_approval_in_carril,cancel_task_or_ignore_no_diff_task,status ready and files_changed=0,Codex Cloud task id and diff check,codex cloud exec --env universo-rey/cabina-universal-d --branch main -- Read-only governed smoke,If label is rejected record PENDING_TARGET_ONLY,CODEX_CLOUD_ENVIRONMENT_MISSING,scripts/validators/dev_execution_attempt_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
codex_cloud.apply,Codex Cloud apply,CODEX_CLOUD_GOVERNED,PENDING_TARGET_ONLY,no,apply_gated_review,[TASK_ID_WITH_REVIEWED_DIFF]|[APPROVAL_REF],operador_runtime,publicador_github,no,not_required,[APPROVED_TASK_COST_BOUNDARY],reviewed_diff_only,required_apply_review_gate,revert_applied_diff_or_close_pr,git diff reviewed after apply,applied diff hash,codex cloud apply [TASK_ID],PENDING_TARGET_ONLY; use diff/status only,CODEX_CLOUD_APPLY_WITHOUT_REVIEW,scripts/validators/dev_execution_attempt_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
codex_cloud.pr_packet_local,Codex Cloud PR packet preparation,CODEX_CLOUD_GOVERNED,EXECUTE_LOCAL_NOW,yes,local_pr_packet_no_remote_write,[TASK_ID_OR_LOCAL_DIFF]|[FILE_SCOPE],operador_runtime,publicador_github,no,not_required,no_external_cost,local_diff_metadata_only,not_required_for_local,delete local PR packet or revert local file,packet declares diff hash file scope and blocked remote actions,local PR packet path and diff hash,python scripts/validators/dev_execution_attempt_validator.py,If task or diff is missing mark PENDING_TARGET_ONLY and do not push,CODEX_PR_PACKET_TARGET_MISSING,scripts/validators/dev_execution_attempt_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
codex_cloud.pr_create_gated,Codex Cloud to GitHub PR create gated,CODEX_CLOUD_GOVERNED,PENDING_TARGET_ONLY,no,repo_remote_write_gated,[REVIEWED_DIFF_HASH]|[HEAD_BRANCH]|[BASE_BRANCH]|[EXPECTED_HEAD]|[APPROVAL_REF],publicador_github,publicador_github,no,not_required,no_external_cost,reviewed_diff_metadata_only,required_pr_create_gate,close PR or revert branch commit,PR head matches expected head and checks are registered,PR URL commit SHA and reviewed diff hash,gh pr create --base [BASE_BRANCH] --head [HEAD_BRANCH] --title [TITLE] --body-file [BODY_FILE],PENDING_TARGET_ONLY; prepare local PR packet only and do not push or create PR,GITHUB_PR_TARGET_OR_APPROVAL_MISSING,scripts/validators/dev_execution_attempt_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
local_agent_bridge.mock,Local agent bridge mock,DEV_READY,EXECUTE_MOCK_NOW,yes,local_mock,127.0.0.1,operador_runtime,operador_runtime,no,not_required,no_external_cost,synthetic_fixture_only,not_required_for_local,no_external_state_to_rollback,SDU_LOCAL_AGENT_BRIDGE_MOCK_FLOW_PASS,node smoke output,node local-agent-bridge/tests/mock_bridge_flow.mjs,Fix local bridge if mock fails,PUBLIC_LOCAL_BRIDGE_WITHOUT_AUTH,scripts/validators/local_agent_bridge_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
openai_api.smoke.dev,OpenAI API smoke DEV,OPENAI_API_LIVE_GOVERNED,PENDING_SECRET_ONLY,no,live_api_smoke_gated,Responses API smoke contract,efigueroa@registronotarial8tdf.com.ar,court.openai_dispatcher,yes,required_live_api_key_from_governed_secret_store,[MAX_USD]|[MAX_TOKENS]|[MODEL],sanitized_prompt_no_secret_no_sensitive_body,required_live_api_gate,no_runtime_state_to_rollback,HTTP 200 no body printed,sanitized status only,python scripts/validators/gated_pending_action_validator.py --capability openai_api.smoke.dev --required-target [OPENAI_SMOKE_GATE_TARGET] --approval-ref [APPROVAL_REF] --rollback [ROLLBACK_PLAN] --postcheck [POSTCHECK] --stop-condition OPENAI_SECRET_MISSING_OR_BODY_PRINTED --no-live,PENDING_SECRET_ONLY; use local contract validation only,OPENAI_SECRET_MISSING_OR_BODY_PRINTED,scripts/validators/dev_execution_attempt_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
agents_sdk.local,Agents SDK local smoke,LOCAL_SYNTHETIC_READY,EXECUTE_LOCAL_NOW,yes,local_runtime_smoke,apps/sdu-agent-runtime,court.openai_dispatcher,court.openai_dispatcher,no,not_required,no_external_cost,local_synthetic_eval_only,not_required_for_local,revert local code change,synthetic eval pass,local smoke output,pwsh .agents/codex/tools/local_validate_github_automation_preflight.ps1 -CheckLocalSdk,Run existing validator if SDK package absent,AGENTS_SDK_LOCAL_SMOKE_FAILED,scripts/validators/dev_execution_attempt_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
agents_sdk.live_gated,Agents SDK live gated,AGENTS_SDK_RUNTIME_LIVE_GOVERNED,PENDING_TARGET_ONLY,no,live_api_gated,[MODEL]|[PAYLOAD]|[COST_BOUNDARY],court.openai_dispatcher,court.sdu_gate,yes,required_live_api_key_from_governed_secret_store,[MAX_USD]|[MAX_TOKENS]|[MODEL],sanitized_trace_only_no_body_no_secret,required_live_api_gate,no_persistent_agent_or_delete_created_agent,trace sanitized no body/secrets,trace id and cost boundary,python scripts/validators/gated_pending_action_validator.py --capability agents_sdk.live_gated --required-target [AGENTS_SDK_LIVE_GATE_TARGET] --approval-ref [APPROVAL_REF] --rollback [ROLLBACK_PLAN] --postcheck [POSTCHECK] --stop-condition AGENTS_SDK_LIVE_GATE_MISSING --no-live,PENDING_TARGET_ONLY; use local synthetic eval,AGENTS_SDK_LIVE_GATE_MISSING,scripts/validators/dev_execution_attempt_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
github.local_branch_commit,Git local branch and commit,LOCAL_TEMPLATE_READY,PENDING_TARGET_ONLY,no,local_git_no_remote_write,[LOCAL_BRANCH]|[EXPLICIT_FILE_SCOPE]|[MESSAGE],publicador_github,publicador_github,no,not_required,no_external_cost,local_repo_metadata_only,not_required_for_local,git reset --hard [PREVIOUS_HEAD] or git branch -D [LOCAL_BRANCH],git diff --name-only remains inside explicit file scope,local branch name and commit SHA,git switch -c [LOCAL_BRANCH] && git add [EXPLICIT_FILES] && git commit -m [MESSAGE],PENDING_TARGET_ONLY; instantiate branch files message and execution queue before commit,LOCAL_BRANCH_OR_FILE_SCOPE_MISSING,scripts/validators/dev_execution_attempt_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
github.remote_push_gated,GitHub remote branch push,EXECUTED_GOVERNED,PENDING_TARGET_ONLY,no,repo_remote_write_gated,[REMOTE]|[LOCAL_BRANCH]|[REMOTE_BRANCH]|[EXPECTED_LOCAL_HEAD]|[APPROVAL_REF],publicador_github,publicador_github,no,not_required,no_external_cost,repo_metadata_only,required_remote_push_gate,delete remote branch or revert pushed commit,remote branch HEAD equals expected local HEAD,remote branch URL and commit SHA,git push [REMOTE] [LOCAL_BRANCH]:[REMOTE_BRANCH],PENDING_TARGET_ONLY; keep local commit only and do not push,REMOTE_PUSH_TARGET_OR_APPROVAL_MISSING,scripts/validators/dev_execution_attempt_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
github.pr_create_gated,GitHub PR create,EXECUTED_GOVERNED,PENDING_TARGET_ONLY,no,repo_remote_write_gated,[BASE_BRANCH]|[HEAD_BRANCH]|[EXPECTED_REMOTE_HEAD]|[PR_TITLE]|[APPROVAL_REF],publicador_github,publicador_github,no,not_required,no_external_cost,repo_metadata_only,required_pr_create_gate,close PR or revert branch commit,PR head matches expected remote HEAD and checks are registered,PR URL and expected HEAD,gh pr create --base [BASE_BRANCH] --head [HEAD_BRANCH] --title [PR_TITLE] --body-file [BODY_FILE],PENDING_TARGET_ONLY; keep branch unmerged and prepare local PR packet only,PR_TARGET_OR_APPROVAL_MISSING,scripts/validators/dev_execution_attempt_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
github.admin_bypass,GitHub admin bypass,ENABLED_GOVERNED_GATED,BLOCKED_SECURITY_RISK,no,break_glass_only,[PR_NUMBER]|[HEAD],publicador_github,operator,no,not_required,no_external_cost,repo_metadata_only,required_break_glass_approval,revert merge commit,merge commit exists and checks green,PR review break-glass approval and merge evidence,gh pr merge --admin --match-head-commit [HEAD],BLOCKED_SECURITY_RISK; use normal merge unless break-glass approval exists,BREAK_GLASS_APPROVAL_MISSING|ADMIN_BYPASS_PRECHECK_MISSING|HEAD_CHANGED|CHECKS_NOT_GREEN|NORMAL_MERGE_AVAILABLE|BYPASS_PERMISSION_NOT_AVAILABLE,scripts/validators/dev_execution_attempt_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
production.change,Production change,ENABLED_GOVERNED_GATED,READY_FOR_PROD_HUMAN_GATE,no,production_human_gate,[PROD_TARGET]|[ACTION],human_authorized_identity,owner_required,conditional,required_if_operation_uses_cloud_api_external_service_or_privileged_credential,explicit_prod_cost_or_no_external_cost_declared,prod_gate_packet_required,required_prod_human_gate,production rollback plan mandatory,production postcheck mandatory,production gate packet,python scripts/validators/gated_pending_action_validator.py --capability production.change --required-target [PRODUCTION_CHANGE_TARGET] --approval-ref [APPROVAL_REF] --rollback [ROLLBACK_PLAN] --postcheck [POSTCHECK] --stop-condition BLOCKED_PRODUCTION_UNAPPROVED --no-live,Keep DEV/read-only evidence only,BLOCKED_PRODUCTION_UNAPPROVED,scripts/validators/dev_execution_attempt_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
