capability_id,source_repo,source_path,target_path,source_status,adoption_decision,primary_agent,gate,reason,evidence
cap.cdf.agent_skill_recipe_tool_plugin,CDF_SOLUCIONES,03_OPERACION/AGENT_VERSIONING/CDF_AGENT_SKILL_RECIPE_TOOL_PLUGIN_MATRIX.csv,.agents/codex/matrices/SOURCE_CDF_AGENT_SKILL_RECIPE_TOOL_PLUGIN_MATRIX.csv,COPIED,ADOPT_AS_PROVIDER_CAPABILITY_REFERENCE,court.thot_schema,local_only,"CDF skill recipe tool plugin matrix helps reuse provider capabilities without duplicating them","copied from cdf-soluciones"
cap.cdf.runtime_alignment,CDF_SOLUCIONES,03_OPERACION/AGENT_RUNTIME_CAPABILITY_ALIGNMENT/CDF_AGENT_RUNTIME_RECIPES_SKILLS_ALIGNMENT_MATRIX.csv,.agents/codex/matrices/SOURCE_CDF_AGENT_RUNTIME_RECIPES_SKILLS_ALIGNMENT_MATRIX.csv,COPIED,ADOPT_AS_RUNTIME_ALIGNMENT_REFERENCE,court.openai_dispatcher,local_only,"runtime alignment remains dry-run documentary and supports local capability routing","copied from cdf-soluciones"
cap.cdf.sharepoint_plugin_skill,CDF_SOLUCIONES,03_OPERACION/SHAREPOINT_SPECIALIZATION/CDF_SHAREPOINT_PLUGIN_SKILL_ADOPTION_MATRIX.csv,.agents/codex/matrices/SOURCE_CDF_SHAREPOINT_PLUGIN_SKILL_ADOPTION_MATRIX.csv,COPIED,ADOPT_AS_SHAREPOINT_SPECIALIST_REFERENCE,tech.reference_librarian,governed_before_live,"SharePoint specialist mapping is useful for future governed site discovery but does not authorize Microsoft live","copied from cdf-soluciones"
cap.modo_on.foundation.agent_registry,MODO_ON_FOUNDATION,governance/registries/agent-registry.yaml,.agents/codex/agents/SOURCE_MODO_ON_FOUNDATION_agent_registry.yaml,COPIED,ADOPT_AS_CONTEXTUAL_MODO_ON_REFERENCE,universe.modo_on_tower,local_only,"foundation registry contributes contextual Codex/OpenAI integration guardrails while staying non-rector","copied from modo-on-foundation"
cap.methodology.webreactiva.skill_wave,WEBREACTIVA,https://www.webreactiva.com/blog/10-mejores-skills-claude-code-agentes,.agents/codex/matrices/LOCAL_SKILL_CATALOG.csv,EXTERNAL_REFERENCE,ADOPT_EXISTING_LOCAL_AND_PLUGIN_SKILLS,court.thot_schema,local_only,"second methodology wave maps to existing installed or plugin skills instead of new untested skill packages","catalog rows and default assignment matrix"
"cap.local.skill_roots.storage","D_CABINA_UNIVERSAL_ROOT",".agents/skills|C:/Users/enzo1/.agents/skills|C:/Users/enzo1/.codex/skills|C:/Users/enzo1/.codex/plugins/cache/openai-curated",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","LOCAL_ROOTS_PRESENT","REGISTER_SKILL_STORAGE_LOCATIONS","codex.workspace_guardian","local_only","skills are stored in repo-local root user-local root system root or plugin cache and referenced by catalog","local path existence check"
cap.document_factory.skills_metadata_package,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills,.agents/codex/skills|.agents/codex/matrices|.agents/codex/readbacks,PREPARED_METADATA_SOURCE,ADOPT_AS_SOURCE_METADATA_REFERENCE,court.thot_schema,local_only,"prepared maximum carries 78 handles and source decisions; Cabina consumes metadata and provenance without copying external skill bodies","SOURCE_DOCUMENT_FACTORY_SKILLS_INDEX_20260517|SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517|SOURCE_DOCUMENT_FACTORY_SKILLS_READINESS_20260517|SOURCE_DOCUMENT_FACTORY_SKILLS_RISK_20260517|SOURCE_DOCUMENT_FACTORY_SKILLS_EXISTENCE_20260517|PR69_PR70_PR71_PROPAGATION_LINEAGE"
cap.document_factory.skill_resolution.rey_modo_gobernador_capacidades,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#rey-modo-gobernador-capacidades,TCU_CURRENT_SKILLS_REGISTRY,PRESERVADA_CURRENT_DISTINCT,PRESERVE_CURRENT_DISTINCT_NO_ALIAS_COLLAPSE,court.thot_schema,local_only,"Drive ALIAS rey-modo-gobernador-capacidades -> rey-modo-gobierno-capacidades; current consumers: TCU=yes Cabina=yes TGE=yes; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517|TCU_CURRENT_SKILLS_REGISTRY_2026-08-23|TGE_CURRENT_SKILL_CATALOG_20260527|CABINA_SKILL_USAGE_CURRENT"
cap.document_factory.skill_resolution.tcu_normalizador_estado_cabinas,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#tcu-normalizador-estado-cabinas,TCU_CURRENT_SKILLS_REGISTRY|TGE_CURRENT_SKILL_CATALOG,ALIAS_RESUELTO,PRESERVE_TGE_ALIAS_MAP_TO_TCU_CANONICAL,court.thot_schema,local_only,"Drive ALIAS tcu-normalizador-estado-cabinas -> tcu-cabina-state-normalizer; current consumers: TCU=yes Cabina=no TGE=yes; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517|TCU_CURRENT_SKILLS_REGISTRY_2026-08-23|TGE_CURRENT_SKILL_CATALOG_20260527"
cap.document_factory.skill_resolution.rey_modo_recuperador_codigo_repos,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#rey-modo-recuperador-codigo-repos,TCU_CURRENT_SKILLS_REGISTRY|TGE_CURRENT_SKILL_CATALOG,ALIAS_RESUELTO,PRESERVE_TGE_ALIAS_MAP_TO_TCU_CANONICAL,court.thot_schema,local_only,"Drive ALIAS rey-modo-recuperador-codigo-repos -> rey-modo-repo-code-recovery; current consumers: TCU=yes Cabina=no TGE=yes; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517|TCU_CURRENT_SKILLS_REGISTRY_2026-08-23|TGE_CURRENT_SKILL_CATALOG_20260527"
cap.document_factory.skill_resolution.rey_modo_auditor_vscode_insiders,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#rey-modo-auditor-vscode-insiders,TCU_CURRENT_SKILLS_REGISTRY|TGE_CURRENT_SKILL_CATALOG,ALIAS_RESUELTO,PRESERVE_TGE_ALIAS_MAP_TO_TCU_CANONICAL,court.thot_schema,local_only,"Drive ALIAS rey-modo-auditor-vscode-insiders -> rey-modo-vscode-insiders-auditor; current consumers: TCU=yes Cabina=yes TGE=yes; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517|TCU_CURRENT_SKILLS_REGISTRY_2026-08-23|TGE_CURRENT_SKILL_CATALOG_20260527|CABINA_SKILL_USAGE_CURRENT"
cap.document_factory.skill_resolution.rey_modo_evidencia_riesgo_handoff,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#rey-modo-evidencia-riesgo-handoff,TCU_CURRENT_SKILLS_REGISTRY,PRESERVADA_CURRENT_DISTINCT,PRESERVE_CURRENT_DISTINCT_NO_ALIAS_COLLAPSE,court.thot_schema,local_only,"Drive ALIAS rey-modo-evidencia-riesgo-handoff -> rey-modo-evidence-risk-handoff; current consumers: TCU=yes Cabina=yes TGE=yes; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517|TCU_CURRENT_SKILLS_REGISTRY_2026-08-23|TGE_CURRENT_SKILL_CATALOG_20260527|CABINA_SKILL_USAGE_CURRENT"
cap.document_factory.skill_resolution.rey_modo_auditor_sharepoint_seguro,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#rey-modo-auditor-sharepoint-seguro,TCU_CURRENT_SKILLS_REGISTRY|TGE_CURRENT_SKILL_CATALOG,ALIAS_RESUELTO,PRESERVE_TGE_ALIAS_MAP_TO_TCU_CANONICAL,court.thot_schema,local_only,"Drive ALIAS rey-modo-auditor-sharepoint-seguro -> rey-modo-sharepoint-safety-auditor; current consumers: TCU=yes Cabina=no TGE=yes; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517|TCU_CURRENT_SKILLS_REGISTRY_2026-08-23|TGE_CURRENT_SKILL_CATALOG_20260527"
cap.document_factory.skill_resolution.tcu_readback_handoff_sys,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#tcu-readback-handoff-sys,TCU_CURRENT_SKILLS_REGISTRY,ALIAS_RESUELTO,PRESERVE_SOURCE_ALIAS_TO_TCU_CANONICAL,court.thot_schema,local_only,"Drive ALIAS tcu-readback-handoff-sys -> tcu-sys-readback-handoff-normalizer; current consumers: TCU=yes Cabina=no TGE=no; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517|TCU_CURRENT_SKILLS_REGISTRY_2026-08-23"
cap.document_factory.skill_resolution.tcu_publicador_documental_sys,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#tcu-publicador-documental-sys,TCU_CURRENT_SKILLS_REGISTRY,ALIAS_RESUELTO,PRESERVE_SOURCE_ALIAS_TO_TCU_CANONICAL,court.thot_schema,local_only,"Drive ALIAS tcu-publicador-documental-sys -> tcu-sys-documental-publisher; current consumers: TCU=yes Cabina=no TGE=no; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517|TCU_CURRENT_SKILLS_REGISTRY_2026-08-23"
cap.document_factory.skill_resolution.tcu_despacho_agentes_paralelos,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#tcu-despacho-agentes-paralelos,TCU_CURRENT_SKILLS_REGISTRY,ALIAS_RESUELTO,PRESERVE_SOURCE_ALIAS_TO_TCU_CANONICAL,court.thot_schema,local_only,"Drive ALIAS tcu-despacho-agentes-paralelos -> dispatching-parallel-agents; current consumers: TCU=yes Cabina=yes TGE=no; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517|TCU_CURRENT_SKILLS_REGISTRY_2026-08-23|CABINA_SKILL_USAGE_CURRENT"
cap.document_factory.skill_resolution.rey_modo_mapa_documental_escenarios,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#rey-modo-mapa-documental-escenarios,TCU_CURRENT_SKILLS_REGISTRY|TGE_CURRENT_SKILL_CATALOG,ALIAS_RESUELTO,PRESERVE_TGE_ALIAS_MAP_TO_TCU_CANONICAL,court.thot_schema,local_only,"Drive ALIAS rey-modo-mapa-documental-escenarios -> rey-modo-docset-scenario-mapper; current consumers: TCU=yes Cabina=no TGE=yes; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517|TCU_CURRENT_SKILLS_REGISTRY_2026-08-23|TGE_CURRENT_SKILL_CATALOG_20260527"
cap.document_factory.skill_resolution.tcu_normalizador_sistema_modo_on,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#tcu-normalizador-sistema-modo-on,TCU_CURRENT_SKILLS_REGISTRY,PRESERVADA_CURRENT_DISTINCT,PRESERVE_CURRENT_DISTINCT_NO_ALIAS_COLLAPSE,court.thot_schema,local_only,"Drive EQUIVALENTE tcu-normalizador-sistema-modo-on -> tcu-modo-e-system-normalizer; current consumers: TCU=yes Cabina=yes TGE=no; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517|TCU_CURRENT_SKILLS_REGISTRY_2026-08-23|CABINA_SKILL_USAGE_CURRENT"
cap.document_factory.skill_resolution.rey_modo_traductor_reino_tecnico,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#rey-modo-traductor-reino-tecnico,TCU_CURRENT_SKILLS_REGISTRY|TGE_CURRENT_SKILL_CATALOG,ALIAS_RESUELTO,PRESERVE_TGE_ALIAS_MAP_TO_TCU_CANONICAL,court.thot_schema,local_only,"Drive EQUIVALENTE rey-modo-traductor-reino-tecnico -> rey-modo-reino-technical-translator; current consumers: TCU=yes Cabina=no TGE=yes; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517|TCU_CURRENT_SKILLS_REGISTRY_2026-08-23|TGE_CURRENT_SKILL_CATALOG_20260527"
cap.document_factory.skill_resolution.rey_modo_auditor_taxonomia_contenttypes,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#rey-modo-auditor-taxonomia-contenttypes,TCU_CURRENT_SKILLS_REGISTRY|TGE_CURRENT_SKILL_CATALOG,ALIAS_RESUELTO,PRESERVE_TGE_ALIAS_MAP_TO_TCU_CANONICAL,court.thot_schema,local_only,"Drive EQUIVALENTE rey-modo-auditor-taxonomia-contenttypes -> rey-modo-taxonomy-contenttype-auditor; current consumers: TCU=yes Cabina=no TGE=yes; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517|TCU_CURRENT_SKILLS_REGISTRY_2026-08-23|TGE_CURRENT_SKILL_CATALOG_20260527"
cap.document_factory.skill_resolution.rey_modo_auditor_flujos_cola,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#rey-modo-auditor-flujos-cola,TCU_CURRENT_SKILLS_REGISTRY|TGE_CURRENT_SKILL_CATALOG,ALIAS_RESUELTO,PRESERVE_TGE_ALIAS_MAP_TO_TCU_CANONICAL,court.thot_schema,local_only,"Drive EQUIVALENTE rey-modo-auditor-flujos-cola -> rey-modo-flow-workqueue-auditor; current consumers: TCU=yes Cabina=no TGE=yes; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517|TCU_CURRENT_SKILLS_REGISTRY_2026-08-23|TGE_CURRENT_SKILL_CATALOG_20260527"
cap.document_factory.skill_resolution.tcu_gate_api_no_sensible,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#tcu-gate-api-no-sensible,TCU_CURRENT_SKILLS_REGISTRY|TGE_CURRENT_SKILL_CATALOG,ALIAS_RESUELTO,PRESERVE_TGE_ALIAS_MAP_TO_TCU_CANONICAL,court.thot_schema,local_only,"Drive ALIAS tcu-gate-api-no-sensible -> tcu-openai-api-non-sensitive-gate; current consumers: TCU=yes Cabina=no TGE=yes; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517|TCU_CURRENT_SKILLS_REGISTRY_2026-08-23|TGE_CURRENT_SKILL_CATALOG_20260527"
cap.document_factory.skill_resolution.rey_modo_handoff_continuidad,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#rey-modo-handoff-continuidad,TGE_CURRENT_SKILL_CATALOG,TGE_ALIAS_VIGENTE,PRESERVE_TGE_CURRENT_ALIAS_NO_TCU_COLLAPSE,court.thot_schema,local_only,"Drive EQUIVALENTE rey-modo-handoff-continuidad -> rey-modo-continuidad-sesion; current consumers: TCU=no Cabina=no TGE=yes; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517|TGE_CURRENT_SKILL_CATALOG_20260527"
cap.document_factory.skill_resolution.rey_modo_carril_codex_cloud_api,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#rey-modo-carril-codex-cloud-api,TCU_CURRENT_SKILLS_REGISTRY|TGE_CURRENT_SKILL_CATALOG,ALIAS_RESUELTO,PRESERVE_TGE_ALIAS_MAP_TO_TCU_CANONICAL,court.thot_schema,local_only,"Drive EQUIVALENTE rey-modo-carril-codex-cloud-api -> rey-modo-codex-routing; current consumers: TCU=yes Cabina=no TGE=yes; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517|TCU_CURRENT_SKILLS_REGISTRY_2026-08-23|TGE_CURRENT_SKILL_CATALOG_20260527"
cap.document_factory.skill_resolution.rey_modo_auditor_taxonomy_contenttype,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#rey-modo-auditor-taxonomy-contenttype,TCU_CURRENT_SKILLS_REGISTRY,PENDIENTE_CON_CAUSA,PENDING_COLLISION_NO_INFERENCE,court.thot_schema,local_only,"Drive POSIBLE_COLISION rey-modo-auditor-taxonomy-contenttype -> rey-modo-taxonomy-contenttype-auditor; current consumers: TCU=yes Cabina=no TGE=no; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517|TCU_CURRENT_SKILLS_REGISTRY_2026-08-23"
cap.document_factory.skill_resolution.circleci_cli,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#circleci-cli,NO_APLICA,EXTERNAL_PLUGIN,REFERENCE_ONLY_EXTERNAL_PLUGIN,court.thot_schema,local_only,"Drive ALIAS circleci-cli -> circleci:cli; current consumers: TCU=no Cabina=no TGE=no; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517"
cap.document_factory.skill_resolution.circleci_config,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#circleci-config,NO_APLICA,EXTERNAL_PLUGIN,REFERENCE_ONLY_EXTERNAL_PLUGIN,court.thot_schema,local_only,"Drive ALIAS circleci-config -> circleci:config; current consumers: TCU=no Cabina=no TGE=no; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517"
cap.document_factory.skill_resolution.sdu_gate_executor,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#sdu-gate-executor,NO_APLICA,PRESERVADA,PRESERVE_DUPLICATE_REFERENCE_NO_PROMOTION,court.thot_schema,local_only,"Drive DUPLICADO_FUNCIONAL sdu-gate-executor -> sdu-gate-executor; current consumers: TCU=no Cabina=no TGE=no; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517"
cap.document_factory.skill_resolution.sdu_live_sharepoint_audit,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#sdu-live-sharepoint-audit,NO_APLICA,PRESERVADA,PRESERVE_DUPLICATE_REFERENCE_NO_PROMOTION,court.thot_schema,local_only,"Drive DUPLICADO_FUNCIONAL sdu-live-sharepoint-audit -> sdu-live-sharepoint-audit; current consumers: TCU=no Cabina=no TGE=no; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517"
cap.document_factory.skill_resolution.skill_sharepoint_inventory,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#skill.sharepoint.inventory,TCU_CURRENT_SKILLS_REGISTRY,WRAPPER_RESUELTO,PRESERVE_WRAPPER_TO_TCU_CANONICAL,court.thot_schema,local_only,"Drive WRAPPER skill.sharepoint.inventory -> rey-modo-sharepoint-safety-auditor; current consumers: TCU=yes Cabina=no TGE=no; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517|TCU_CURRENT_SKILLS_REGISTRY_2026-08-23"
cap.document_factory.skill_resolution.skill_sharepoint_contenttypes,DOCUMENT_FACTORY_GOOGLE_DRIVE,OPENAI_CAPABILITY_CONTROL_PLANE_2026-05-18/skills/_matrices/MATRIZ_SKILLS_EQUIVALENCIAS.md#skill.sharepoint.contenttypes,TCU_CURRENT_SKILLS_REGISTRY,WRAPPER_RESUELTO,PRESERVE_WRAPPER_TO_TCU_CANONICAL,court.thot_schema,local_only,"Drive WRAPPER skill.sharepoint.contenttypes -> rey-modo-taxonomy-contenttype-auditor; current consumers: TCU=yes Cabina=no TGE=no; current TCU manifest wins over historical alias claims","SOURCE_DOCUMENT_FACTORY_SKILLS_EQUIVALENCES_20260517|TCU_CURRENT_SKILLS_REGISTRY_2026-08-23"
