"blueprint_agent","plane","cabina_family","authority_level","schema_table","surface","surface_status","queue","queue_item_type","flow_status","canonical_gate_family","proposed_gate","gate_catalog_status","canonical_stop_condition","proposed_stop_condition","stop_condition_glossary_status","decision","risk","owner_agent","reviewer_agent","required_skill","required_recipe","required_tool","required_validator","validation_coverage_class","order_class","allowed_actions","blocked_actions","required_artifacts","source_matrix_refs","target_repository","target_local_path","target_cabina","target_universe","distribution_decision","dataverse_mode","environment_url","environment_id","environment_type","tenant_id","solution_unique_name","publisher_prefix","table_or_queue","queue_id","workqueuekey","observed_count","duplicate_count","record_scope_required","idempotency_key_required","candidate_count_required","rollback_required","postcheck_required","evidence_freshness","write_authorization_state","evidence_path","readback_path","source_artifact","sanitization_status","evidence_hash","retention_scope","notes"
"local-executor","operation","codex.workspace_guardian","05_SOPORTE_TECNICO","mon_sdu_apply_log","local_workspace","LOCAL_METADATA_ONLY","NO_QUEUE_GATE_ONLY","NOT_APPLICABLE","DESIGNED_NOT_CREATED_NOT_ACTIVE","GATE_WORKTREE_METADATA","GATE_LOCAL_EXECUTION_REVIEW","PROPOSED_GATE_NEEDS_CATALOG_OR_FAMILY_MAPPING","candidate_count_not_one|wrong_environment_or_default","runtime_or_live_execution_without_gate|repo_write_without_target_order","MIXED_CANONICAL_AND_PROPOSED","MAP_TO_EXISTING_AGENT","high","codex.workspace_guardian","rey.frontier_guardian","tcu-descubridor-capacidades|parallel-order-governance","recipe.parallel_agent_operation|recipe.governed_order_preparation","tool.parallel_dispatch_policy_check|tool.local_validator",".agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_backreference_runtime_closure.ps1|.agents/codex/tools/local_validate_agents_instruction_hierarchy.ps1","LOCAL_READONLY_MODEL_VALIDATION","parallel_agent_work","read|classify|prepare_model|prepare_gate_packet","repo_write|checkout|push|pr|microsoft_live|dataverse_live|openai_api_live|runtime_activation|production|secret_materialization","evidence_path|readback_path|rollback|postcheck|validator|target_matrix_before_write","09_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv|10_BLUEPRINT_AGENT_RECONCILIATION_PANEL_REVIEW.md|11_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION_V2.csv","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","live_blocked","https://org084965d9.crm.dynamics.com","7f65fc04-c27a-ea0d-bd2d-266aa9203c1e","Sandbox_DEV","TBD_NOT_PRINTED","SDUCapabilityControlPlane","mon","mon_sdu_apply_log","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","YES","YES","YES","YES","YES","CURRENT_WORKPAPER_WITH_BRANCH_EVIDENCE_REFERENCES","METADATA_ONLY_NO_WRITE","TBD","TBD","CODEX_AGENT_NETWORK_MATRIX.csv","REQUIRED_NOT_ATTACHED","TBD","LOCAL_WORKPAPER","executor cannot inherit Dataverse metadata gate or dispatch queue without exact item"
"validator","operation","court.sdu_gate","01_AUTORIDAD_Y_GATES","mon_sdu_validation_gate","dataverse_dev_metadata","LOCAL_METADATA_ONLY","NO_QUEUE_GATE_ONLY","NOT_APPLICABLE","DESIGNED_NOT_CREATED_NOT_ACTIVE","GATE_REPO_NATIVE_WRITE","GATE_VALIDATOR_REQUIRED_PASS","PROPOSED_GATE_NEEDS_CATALOG_OR_FAMILY_MAPPING","NO_CANONICAL_STOP_MATCH","validator_missing_or_failed|validator_scope_unmapped","PROPOSED_NEEDS_GLOSSARY_RECONCILIATION","MAP_TO_EXISTING_AGENT","medium","court.sdu_gate","codex.workspace_guardian","tcu-descubridor-capacidades|parallel-order-governance","recipe.parallel_agent_operation|recipe.governed_order_preparation","tool.parallel_dispatch_policy_check|tool.local_validator",".agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_backreference_runtime_closure.ps1","LOCAL_READONLY_MODEL_VALIDATION","parallel_agent_work","read|classify|prepare_model|prepare_gate_packet","repo_write|checkout|push|pr|microsoft_live|dataverse_live|openai_api_live|runtime_activation|production|secret_materialization","evidence_path|readback_path|rollback|postcheck|validator|target_matrix_before_write","09_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv|10_BLUEPRINT_AGENT_RECONCILIATION_PANEL_REVIEW.md|11_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION_V2.csv","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","metadata_only","https://org084965d9.crm.dynamics.com","7f65fc04-c27a-ea0d-bd2d-266aa9203c1e","Sandbox_DEV","TBD_NOT_PRINTED","SDUCapabilityControlPlane","mon","mon_sdu_validation_gate","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","YES","NO","NO","YES","YES","CURRENT_WORKPAPER_WITH_BRANCH_EVIDENCE_REFERENCES","METADATA_ONLY_NO_WRITE","TBD","TBD","CODEX_AGENT_NETWORK_MATRIX.csv","REQUIRED_NOT_ATTACHED","TBD","LOCAL_WORKPAPER","validates outputs and stop conditions with declared validator scope"
"evidence-writer","operation","court.seshat_evidence","03_CORTE_EJECUTORA","mon_sdu_evidence","dataverse_dev_metadata","LOCAL_METADATA_ONLY","SDU.Evidence.Publish.Queue","evidence_publish_metadata_only","DESIGNED_NOT_CREATED_NOT_ACTIVE","GATE_DATAVERSE_APPLY","GATE_EVIDENCE_SANITIZATION","PROPOSED_GATE_NEEDS_CATALOG_OR_FAMILY_MAPPING","secret_detected","evidence_path_missing|sanitization_status_missing","MIXED_CANONICAL_AND_PROPOSED","MAP_TO_EXISTING_AGENT","medium","court.seshat_evidence","court.sdu_gate","tcu-descubridor-capacidades|parallel-order-governance","recipe.parallel_agent_operation|recipe.governed_order_preparation","tool.parallel_dispatch_policy_check|tool.local_validator",".agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_backreference_runtime_closure.ps1|.agents/codex/tools/local_validate_agent_workpapers.ps1","LOCAL_READONLY_MODEL_VALIDATION","parallel_agent_work","read|classify|prepare_model|prepare_gate_packet","repo_write|checkout|push|pr|microsoft_live|dataverse_live|openai_api_live|runtime_activation|production|secret_materialization","evidence_path|readback_path|rollback|postcheck|validator|target_matrix_before_write","09_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv|10_BLUEPRINT_AGENT_RECONCILIATION_PANEL_REVIEW.md|11_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION_V2.csv","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","metadata_only","https://org084965d9.crm.dynamics.com","7f65fc04-c27a-ea0d-bd2d-266aa9203c1e","Sandbox_DEV","TBD_NOT_PRINTED","SDUCapabilityControlPlane","mon","SDU.Evidence.Publish.Queue","d8489bf0-3f5f-f111-a826-00224805f9dd","SDU.Evidence.Publish.Queue","1","0","YES","NO","NO","YES","YES","CURRENT_WORKPAPER_WITH_BRANCH_EVIDENCE_REFERENCES","METADATA_ONLY_NO_WRITE","TBD","TBD","CODEX_AGENT_NETWORK_MATRIX.csv","REQUIRED_NOT_ATTACHED","TBD","LOCAL_WORKPAPER","writes sanitized evidence only after evidence path and sanitization are explicit"
"closure-judge","operation","court.sdu_gate","01_AUTORIDAD_Y_GATES","mon_sdu_validation_gate","dataverse_dev_metadata","LOCAL_METADATA_ONLY","NO_QUEUE_GATE_ONLY","NOT_APPLICABLE","DESIGNED_NOT_CREATED_NOT_ACTIVE","GATE_REPO_NATIVE_WRITE","GATE_EVIDENCE_CLOSURE","PROPOSED_GATE_NEEDS_CATALOG_OR_FAMILY_MAPPING","NO_CANONICAL_STOP_MATCH","closure_without_evidence|readback_missing|postcheck_missing","PROPOSED_NEEDS_GLOSSARY_RECONCILIATION","MAP_TO_EXISTING_AGENT","medium","court.sdu_gate","court.seshat_evidence","tcu-descubridor-capacidades|parallel-order-governance","recipe.parallel_agent_operation|recipe.governed_order_preparation","tool.parallel_dispatch_policy_check|tool.local_validator",".agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_backreference_runtime_closure.ps1","LOCAL_READONLY_MODEL_VALIDATION","parallel_agent_work","read|classify|prepare_model|prepare_gate_packet","repo_write|checkout|push|pr|microsoft_live|dataverse_live|openai_api_live|runtime_activation|production|secret_materialization","evidence_path|readback_path|rollback|postcheck|validator|target_matrix_before_write","09_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv|10_BLUEPRINT_AGENT_RECONCILIATION_PANEL_REVIEW.md|11_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION_V2.csv","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","metadata_only","https://org084965d9.crm.dynamics.com","7f65fc04-c27a-ea0d-bd2d-266aa9203c1e","Sandbox_DEV","TBD_NOT_PRINTED","SDUCapabilityControlPlane","mon","mon_sdu_validation_gate","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","YES","NO","NO","YES","YES","CURRENT_WORKPAPER_WITH_BRANCH_EVIDENCE_REFERENCES","METADATA_ONLY_NO_WRITE","TBD","TBD","CODEX_AGENT_NETWORK_MATRIX.csv","REQUIRED_NOT_ATTACHED","TBD","LOCAL_WORKPAPER","decides done blocked review or escalated only with readback evidence"
"trace-collector","memory","court.seshat_evidence","03_CORTE_EJECUTORA","mon_sdu_evidence","dataverse_dev_metadata","LOCAL_METADATA_ONLY","SDU.Evidence.Publish.Queue","evidence_publish_metadata_only","DESIGNED_NOT_CREATED_NOT_ACTIVE","GATE_DATAVERSE_APPLY","GATE_TRACE_INDEX_SANITIZATION","PROPOSED_GATE_NEEDS_CATALOG_OR_FAMILY_MAPPING","secret_detected","trace_index_missing|sanitization_status_missing","MIXED_CANONICAL_AND_PROPOSED","MAP_TO_EXISTING_AGENT","medium","court.seshat_evidence","codex.workspace_guardian","tcu-descubridor-capacidades|parallel-order-governance","recipe.parallel_agent_operation|recipe.governed_order_preparation","tool.parallel_dispatch_policy_check|tool.local_validator",".agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_backreference_runtime_closure.ps1|.agents/codex/tools/local_validate_agent_workpapers.ps1","LOCAL_READONLY_MODEL_VALIDATION","parallel_agent_work","read|classify|prepare_model|prepare_gate_packet","repo_write|checkout|push|pr|microsoft_live|dataverse_live|openai_api_live|runtime_activation|production|secret_materialization","evidence_path|readback_path|rollback|postcheck|validator|target_matrix_before_write","09_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv|10_BLUEPRINT_AGENT_RECONCILIATION_PANEL_REVIEW.md|11_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION_V2.csv","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","metadata_only","https://org084965d9.crm.dynamics.com","7f65fc04-c27a-ea0d-bd2d-266aa9203c1e","Sandbox_DEV","TBD_NOT_PRINTED","SDUCapabilityControlPlane","mon","SDU.Evidence.Publish.Queue","d8489bf0-3f5f-f111-a826-00224805f9dd","SDU.Evidence.Publish.Queue","1","0","YES","NO","NO","NO","YES","CURRENT_WORKPAPER_WITH_BRANCH_EVIDENCE_REFERENCES","METADATA_ONLY_NO_WRITE","TBD","TBD","CODEX_AGENT_NETWORK_MATRIX.csv","REQUIRED_NOT_ATTACHED","TBD","LOCAL_WORKPAPER","indexes sanitized events with explicit trace path"
"readback-miner","memory","court.seshat_evidence","03_CORTE_EJECUTORA","mon_sdu_evidence","dataverse_dev_metadata","LOCAL_METADATA_ONLY","SDU.Evidence.Publish.Queue","evidence_publish_metadata_only","DESIGNED_NOT_CREATED_NOT_ACTIVE","GATE_DATAVERSE_APPLY","GATE_READBACK_MINING","PROPOSED_GATE_NEEDS_CATALOG_OR_FAMILY_MAPPING","NO_CANONICAL_STOP_MATCH","readback_source_missing|readback_path_missing|sanitization_status_missing","PROPOSED_NEEDS_GLOSSARY_RECONCILIATION","MAP_TO_EXISTING_AGENT","medium","court.seshat_evidence","court.sdu_gate","tcu-descubridor-capacidades|parallel-order-governance","recipe.parallel_agent_operation|recipe.governed_order_preparation","tool.parallel_dispatch_policy_check|tool.local_validator",".agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_backreference_runtime_closure.ps1|.agents/codex/tools/local_validate_agent_workpapers.ps1","LOCAL_READONLY_MODEL_VALIDATION","parallel_agent_work","read|classify|prepare_model|prepare_gate_packet","repo_write|checkout|push|pr|microsoft_live|dataverse_live|openai_api_live|runtime_activation|production|secret_materialization","evidence_path|readback_path|rollback|postcheck|validator|target_matrix_before_write","09_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv|10_BLUEPRINT_AGENT_RECONCILIATION_PANEL_REVIEW.md|11_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION_V2.csv","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","metadata_only","https://org084965d9.crm.dynamics.com","7f65fc04-c27a-ea0d-bd2d-266aa9203c1e","Sandbox_DEV","TBD_NOT_PRINTED","SDUCapabilityControlPlane","mon","SDU.Evidence.Publish.Queue","d8489bf0-3f5f-f111-a826-00224805f9dd","SDU.Evidence.Publish.Queue","1","0","YES","NO","NO","NO","YES","CURRENT_WORKPAPER_WITH_BRANCH_EVIDENCE_REFERENCES","METADATA_ONLY_NO_WRITE","TBD","TBD","CODEX_AGENT_NETWORK_MATRIX.csv","REQUIRED_NOT_ATTACHED","TBD","LOCAL_WORKPAPER","mines decisions from readbacks with explicit source path"
"pattern-detector","memory","court.thot_schema","03_CORTE_EJECUTORA","mon_sdu_evidence","dataverse_dev_metadata","LOCAL_METADATA_ONLY","NO_QUEUE_METADATA_ONLY","NOT_APPLICABLE","DESIGNED_NOT_CREATED_NOT_ACTIVE","GATE_DATAVERSE_APPLY","GATE_PATTERN_DETECTION","PROPOSED_GATE_NEEDS_CATALOG_OR_FAMILY_MAPPING","NO_CANONICAL_STOP_MATCH","pattern_registry_missing|evidence_path_missing","PROPOSED_NEEDS_GLOSSARY_RECONCILIATION","MAP_TO_EXISTING_AGENT","medium","court.thot_schema","court.seshat_evidence","tcu-descubridor-capacidades|parallel-order-governance","recipe.parallel_agent_operation|recipe.governed_order_preparation","tool.parallel_dispatch_policy_check|tool.local_validator",".agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_backreference_runtime_closure.ps1|.agents/codex/tools/local_validate_agent_layer.ps1","LOCAL_READONLY_MODEL_VALIDATION","parallel_agent_work","read|classify|prepare_model|prepare_gate_packet","repo_write|checkout|push|pr|microsoft_live|dataverse_live|openai_api_live|runtime_activation|production|secret_materialization","evidence_path|readback_path|rollback|postcheck|validator|target_matrix_before_write","09_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv|10_BLUEPRINT_AGENT_RECONCILIATION_PANEL_REVIEW.md|11_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION_V2.csv","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","metadata_only","https://org084965d9.crm.dynamics.com","7f65fc04-c27a-ea0d-bd2d-266aa9203c1e","Sandbox_DEV","TBD_NOT_PRINTED","SDUCapabilityControlPlane","mon","mon_sdu_evidence","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","YES","NO","NO","NO","YES","CURRENT_WORKPAPER_WITH_BRANCH_EVIDENCE_REFERENCES","METADATA_ONLY_NO_WRITE","TBD","TBD","CODEX_AGENT_NETWORK_MATRIX.csv","REQUIRED_NOT_ATTACHED","TBD","LOCAL_WORKPAPER","detects repeated ambiguity and failures from evidence metadata"
"failure-classifier","memory","rey.frontier_guardian","01_AUTORIDAD_Y_GATES","mon_sdu_validation_gate","dataverse_dev_metadata","LOCAL_METADATA_ONLY","NO_QUEUE_GATE_ONLY","NOT_APPLICABLE","DESIGNED_NOT_CREATED_NOT_ACTIVE","GATE_DATAVERSE_APPLY","GATE_FAILURE_TAXONOMY_REVIEW","PROPOSED_GATE_NEEDS_CATALOG_OR_FAMILY_MAPPING","NO_CANONICAL_STOP_MATCH","failure_taxonomy_missing|failure_scope_ambiguous|evidence_sanitization_missing|regulated_data_in_failure_artifact","PROPOSED_NEEDS_GLOSSARY_RECONCILIATION","MAP_TO_EXISTING_AGENT","medium","rey.frontier_guardian","court.seshat_evidence","tcu-descubridor-capacidades|parallel-order-governance","recipe.parallel_agent_operation|recipe.governed_order_preparation","tool.parallel_dispatch_policy_check|tool.local_validator",".agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_backreference_runtime_closure.ps1","LOCAL_READONLY_MODEL_VALIDATION","parallel_agent_work","read|classify|prepare_model|prepare_gate_packet","repo_write|checkout|push|pr|microsoft_live|dataverse_live|openai_api_live|runtime_activation|production|secret_materialization","evidence_path|readback_path|rollback|postcheck|validator|target_matrix_before_write","09_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv|10_BLUEPRINT_AGENT_RECONCILIATION_PANEL_REVIEW.md|11_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION_V2.csv","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","metadata_only","https://org084965d9.crm.dynamics.com","7f65fc04-c27a-ea0d-bd2d-266aa9203c1e","Sandbox_DEV","TBD_NOT_PRINTED","SDUCapabilityControlPlane","mon","mon_sdu_validation_gate","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","YES","NO","NO","YES","YES","CURRENT_WORKPAPER_WITH_BRANCH_EVIDENCE_REFERENCES","METADATA_ONLY_NO_WRITE","TBD","TBD","CODEX_AGENT_NETWORK_MATRIX.csv","REQUIRED_NOT_ATTACHED","TBD","LOCAL_WORKPAPER","classifies failures only after sanitized bounded evidence"
"decision-memory-writer","memory","court.seshat_evidence","03_CORTE_EJECUTORA","mon_sdu_evidence","dataverse_dev_metadata","LOCAL_METADATA_ONLY","SDU.Evidence.Publish.Queue","evidence_publish_metadata_only","DESIGNED_NOT_CREATED_NOT_ACTIVE","GATE_DATAVERSE_APPLY","GATE_DECISION_MEMORY_SANITIZATION","PROPOSED_GATE_NEEDS_CATALOG_OR_FAMILY_MAPPING","secret_detected","sanitization_status_missing|readback_source_missing","MIXED_CANONICAL_AND_PROPOSED","MAP_TO_EXISTING_AGENT","high","court.seshat_evidence","rey.frontier_guardian","tcu-descubridor-capacidades|parallel-order-governance","recipe.parallel_agent_operation|recipe.governed_order_preparation","tool.parallel_dispatch_policy_check|tool.local_validator",".agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_backreference_runtime_closure.ps1|.agents/codex/tools/local_validate_agent_workpapers.ps1","LOCAL_READONLY_MODEL_VALIDATION","parallel_agent_work","read|classify|prepare_model|prepare_gate_packet","repo_write|checkout|push|pr|microsoft_live|dataverse_live|openai_api_live|runtime_activation|production|secret_materialization","evidence_path|readback_path|rollback|postcheck|validator|target_matrix_before_write","09_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv|10_BLUEPRINT_AGENT_RECONCILIATION_PANEL_REVIEW.md|11_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION_V2.csv","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","metadata_only","https://org084965d9.crm.dynamics.com","7f65fc04-c27a-ea0d-bd2d-266aa9203c1e","Sandbox_DEV","TBD_NOT_PRINTED","SDUCapabilityControlPlane","mon","SDU.Evidence.Publish.Queue","d8489bf0-3f5f-f111-a826-00224805f9dd","SDU.Evidence.Publish.Queue","1","0","YES","NO","NO","YES","YES","CURRENT_WORKPAPER_WITH_BRANCH_EVIDENCE_REFERENCES","METADATA_ONLY_NO_WRITE","TBD","TBD","CODEX_AGENT_NETWORK_MATRIX.csv","REQUIRED_NOT_ATTACHED","TBD","LOCAL_WORKPAPER","stores sanitized decisions only no secrets no broad regulated data"
"gap-detector","memory","court.thot_schema","03_CORTE_EJECUTORA","mon_sdu_evidence","dataverse_dev_metadata","LOCAL_METADATA_ONLY","NO_QUEUE_METADATA_ONLY","NOT_APPLICABLE","DESIGNED_NOT_CREATED_NOT_ACTIVE","GATE_DATAVERSE_APPLY","GATE_GAP_BACKLOG_REVIEW","PROPOSED_GATE_NEEDS_CATALOG_OR_FAMILY_MAPPING","capability_use_preflight_missing","gap_backlog_missing","MIXED_CANONICAL_AND_PROPOSED","MAP_TO_EXISTING_AGENT","medium","court.thot_schema","codex.workspace_guardian","tcu-descubridor-capacidades|parallel-order-governance","recipe.parallel_agent_operation|recipe.governed_order_preparation","tool.parallel_dispatch_policy_check|tool.local_validator",".agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_backreference_runtime_closure.ps1|.agents/codex/tools/local_validate_agent_layer.ps1","LOCAL_READONLY_MODEL_VALIDATION","parallel_agent_work","read|classify|prepare_model|prepare_gate_packet","repo_write|checkout|push|pr|microsoft_live|dataverse_live|openai_api_live|runtime_activation|production|secret_materialization","evidence_path|readback_path|rollback|postcheck|validator|target_matrix_before_write","09_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv|10_BLUEPRINT_AGENT_RECONCILIATION_PANEL_REVIEW.md|11_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION_V2.csv","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","metadata_only","https://org084965d9.crm.dynamics.com","7f65fc04-c27a-ea0d-bd2d-266aa9203c1e","Sandbox_DEV","TBD_NOT_PRINTED","SDUCapabilityControlPlane","mon","mon_sdu_evidence","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","YES","NO","NO","NO","YES","CURRENT_WORKPAPER_WITH_BRANCH_EVIDENCE_REFERENCES","METADATA_ONLY_NO_WRITE","TBD","TBD","CODEX_AGENT_NETWORK_MATRIX.csv","REQUIRED_NOT_ATTACHED","TBD","LOCAL_WORKPAPER","detects missing skills validators configs and profiles"
"improvement-hypothesis-builder","improvement","court.thot_schema","03_CORTE_EJECUTORA","mon_sdu_evidence","dataverse_dev_metadata","LOCAL_METADATA_ONLY","NO_QUEUE_METADATA_ONLY","NOT_APPLICABLE","DESIGNED_NOT_CREATED_NOT_ACTIVE","GATE_DATAVERSE_APPLY","GATE_IMPROVEMENT_HYPOTHESIS_REVIEW","PROPOSED_GATE_NEEDS_CATALOG_OR_FAMILY_MAPPING","NO_CANONICAL_STOP_MATCH","improvement_without_evidence|evidence_path_missing","PROPOSED_NEEDS_GLOSSARY_RECONCILIATION","MAP_TO_EXISTING_AGENT","medium","court.thot_schema","court.seshat_evidence","tcu-descubridor-capacidades|parallel-order-governance","recipe.parallel_agent_operation|recipe.governed_order_preparation","tool.parallel_dispatch_policy_check|tool.local_validator",".agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_backreference_runtime_closure.ps1|.agents/codex/tools/local_validate_agent_layer.ps1","LOCAL_READONLY_MODEL_VALIDATION","parallel_agent_work","read|classify|prepare_model|prepare_gate_packet","repo_write|checkout|push|pr|microsoft_live|dataverse_live|openai_api_live|runtime_activation|production|secret_materialization","evidence_path|readback_path|rollback|postcheck|validator|target_matrix_before_write","09_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv|10_BLUEPRINT_AGENT_RECONCILIATION_PANEL_REVIEW.md|11_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION_V2.csv","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","metadata_only","https://org084965d9.crm.dynamics.com","7f65fc04-c27a-ea0d-bd2d-266aa9203c1e","Sandbox_DEV","TBD_NOT_PRINTED","SDUCapabilityControlPlane","mon","mon_sdu_evidence","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","YES","NO","NO","NO","YES","CURRENT_WORKPAPER_WITH_BRANCH_EVIDENCE_REFERENCES","METADATA_ONLY_NO_WRITE","TBD","TBD","CODEX_AGENT_NETWORK_MATRIX.csv","REQUIRED_NOT_ATTACHED","TBD","LOCAL_WORKPAPER","formulates evidence-backed improvements without dispatch"
