"branch_canonica","matriz","key","value","estrategia","justificacion"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","skill_id","tcu-redactor-planes-operativos","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","skill_id","sdu-ejecutor-gates","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","skill_id","tcu-harness-evals-agentes","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","skill_id","tcu-normalizador-sistema-modo-on","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","skill_id","tcu-planificador-con-archivos","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","skill_id","skill-judge","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","skill_id","cabina-github-plugin-adapter","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","skill_id","cabina-teams-plugin-adapter","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","skill_id","cabina-sharepoint-plugin-adapter","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","skill_id","cabina-document-plugin-adapter","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","skill_id","cabina-superpowers-methodology-adapter","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
